dataset_id,author,downloads,likes,created_at,last_modified,tags
codelion/SimpleQA-Verified,codelion,611,1,2025-09-11 01:52:04+00:00,2025-09-11 01:53:37+00:00,"license:mit,size_categories:1K<n<10K,format:csv,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,arxiv:2509.07968,region:us"
zjunlp/Chat2Workflow-Evaluation,zjunlp,610,3,2026-02-09 09:06:00+00:00,2026-05-27 03:23:04+00:00,"task_categories:text-generation,language:en,license:apache-2.0,size_categories:n<1K,format:json,modality:document,modality:image,modality:text,library:datasets,library:pandas,library:polars,library:mlcroissant,arxiv:2604.19667,region:us,workflow-generation,benchmark,llm-agents"
zwq2018/Multi-modal-Self-instruct,zwq2018,577,31,2024-07-07 16:44:26+00:00,2025-01-27 08:09:55+00:00,"task_categories:multiple-choice,task_categories:question-answering,task_categories:visual-question-answering,task_ids:multiple-choice-qa,task_ids:closed-domain-qa,task_ids:open-domain-qa,task_ids:visual-question-answering,language:en,size_categories:10K<n<100K,format:parquet,modality:image,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,arxiv:2407.07053,region:us,multi-modal-qa,figure-qa,arithmetic-reasoning,statistical-reasoning,logical-reasoning,synthetic-scene,multi-class-classification,chart,plot,table,mathematics,function-plot,abstract-scene,puzzle-test,numeric-common-sense,algebraic-reasoning"
wangrongsheng/ag_news,wangrongsheng,562,5,2024-08-15 07:23:21+00:00,2024-08-15 07:23:48+00:00,"task_categories:text-classification,task_ids:topic-classification,annotations_creators:found,language_creators:found,multilinguality:monolingual,source_datasets:original,language:en,license:unknown,size_categories:100K<n<1M,format:parquet,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us"
zai-org/LongReward-10k,zai-org,559,8,2024-10-17 02:31:18+00:00,2024-10-29 02:29:37+00:00,"task_categories:text-generation,language:en,language:zh,license:apache-2.0,size_categories:10K<n<100K,format:json,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,arxiv:2410.21252,region:us,long context,LLM,RLAIF"
voidful/NMSQA-CODE,voidful,558,3,2023-04-09 16:54:03+00:00,2023-07-24 18:30:24+00:00,"language:en,size_categories:10K<n<100K,format:parquet,modality:tabular,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
vwxyzjn/summarize_from_feedback_tldr_3_filtered_oai_preprocessing_1706381144,vwxyzjn,558,0,2024-01-27 18:46:50+00:00,2024-01-27 18:47:11+00:00,"size_categories:100K<n<1M,format:parquet,modality:tabular,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,region:us"
zai-org/LongWriter-6k,zai-org,531,201,2024-08-13 13:55:38+00:00,2024-08-14 11:56:22+00:00,"task_categories:text-generation,language:en,language:zh,license:apache-2.0,size_categories:1K<n<10K,format:json,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,arxiv:2408.07055,region:us,Long Context,sft,writing"
zai-org/VisionRewardDB-Image,zai-org,525,6,2025-02-09 06:24:47+00:00,2025-02-24 07:40:04+00:00,"license:apache-2.0,size_categories:10K<n<100K,format:parquet,modality:image,modality:text,library:datasets,library:dask,library:mlcroissant,library:polars,arxiv:2412.21059,region:us"
zai-org/CC-Bench-trajectories,zai-org,517,94,2025-07-28 05:53:41+00:00,2025-09-30 04:10:55+00:00,"task_categories:text-generation,language:en,language:zh,license:mit,size_categories:n<1K,format:parquet,modality:tabular,modality:text,library:datasets,library:pandas,library:mlcroissant,library:polars,region:us,code,agent,coding,trajectory,benchmark"
